,1,2,3,4,5,Total
"Educational qualifications: Yes (n, perc.)",1401 (64.09),1612 (71.20),2113 (83.99),2204 (88.30),2184 (89.64),9513 (79.96)
Educational qualifications: No,785 (35.91),652 (28.80),403 (16.01),292 (11.70),252 (10.46),2384 (20.04)
Economic status: Full Time,453 (20.71),662 (29.25),1216 (48.34),1557 (62.39),1737 (71.30),5625 (47.28)
Economic status: Part Time,303 (13.88),347 (15.33),417 (16.60),320 (12.83),260 (10.68),1648 (13.85)
Economic status: Unemployed,92 (4.22),29 (1.30),32 (1.29),15 (0.62),14 (0.56),183 (1.54)
Economic status: Student,213 (9.77),137 (6.05),116 (4.61),79 (3.16),74 (3.02),619 (5.20)
Economic status: Economically inactive,1124 (51.42),1088 (48.08),734 (29.17),524 (21.01),352 (14.44),3822 (32.13)
Children in the household: Yes ,750 (34.30),624 (27.55),834 (33.16),652 (26.13),716 (29.38),3575 (30.05)
Children in the household: No,1436 (65.70),1640 (72.45),1681 (66.84),1844 (73.87),1721 (70.62),8322 (69.95)
Single parent family: Yes,116 (5.31),55 (2.43),33 (1.31),10 (0.40),10 (0.42),224 (1.88)
Single parent family: No,2069 (94.69),2209 (97.57),2483 (98.69),2486 (99.60),2426 (99.58),11673 (98.12)
Driving licence: Yes,1449 (66.31),1656 (73.14),2066 (82.11),2167 (86.81),2213 (90.85),9550 (80.28)
Driving licence: No,736 (33.69),608 (26.86),450 (17.89),329 (13.19),223 (9.15),2347 (19.72)
Car access: Yes,1408 (64.42),1737 (76.75),2196 (87.29),2220 (88.94),2124 (87.20),9685 (81.41)
Car access: No,778 (35.58),526 (23.25),320 (12.71),276 (11.06),312 (12.80),2212 (18.59)
Bike access: Yes,510 (23.34),682 (30.11),960 (38.18),1006 (40.30),1180 (48.42),4338 (36.46)
Bike access: No,1675 (76.66),1582 (69.89),1555 (61.82),1490 (59.70),1257 (51.58),7559 (63.54)
"Area type: Inner London (n, prop.)",135 (6.16),146 (6.46),90 (3.58),142 (5.69),192 (7.90),705 (5.93)
Area type: Built-up areas,277 (12.68),322 (14.20),339 (13.48),325 (13.02),233 (9.57),1496 (12.57)
Area type: > 250k,571 (26.14),587 (25.93),716 (28.46),655 (26.26),548 (22.48),3077 (25.87)
Area type: 25k to 250k,138 (6.33),163 (7.19),249 (9.91),204 (8.19),171 (7.04),926 (7.79)
Area type: 10k to 25k,86 (3.93),153 (6.76),149 (5.94),158 (6.32),152 (6.25),698 (5.87)
Area type: 3k to 10k,775 (35.45),582 (25.72),604 (24.01),657 (26.30),691 (28.34),3308 (27.81)
Area type: Rural,203 (9.30),311 (13.74),368 (14.63),355 (14.21),449 (18.43),1686 (14.17)
Age: 16-29 ,568 (26.00),417 (18.43),606 (24.09),559 (22.40),437 (17.93),2587 (21.75)
Age: 30-64,1051 (48.10),1056 (46.67),1349 (53.64),1517 (60.77),1745 (71.64),6719 (56.48)
Age: >64,566 (25.90),790 (34.90),560 (22.27),420 (16.83),254 (10.42),2590 (21.77)
Sex: Male ,1011 (46.25),1033 (45.61),1210 (48.09),1282 (51.36),1278 (52.46),5813 (48.86)
Sex: Female,1175 (53.75),1231 (54.39),1306 (51.91),1214 (48.64),1158 (47.54),6084 (51.14)
Ethnicity: White,1775 (81.24),1992 (88.01),2217 (88.14),2245 (89.93),2142 (87.92),10371 (87.18)
Ethnicity: Non-white,410 (18.76),271 (11.99),298 (11.86),251 (10.07),294 (12.08),1526 (12.82)
Mobility difficulties: Yes,309 (14.16),296 (13.07),196 (7.78),123 (4.93),95 (3.88),1019 (8.56)
Mobility difficulties: No,1876 (85.84),1968 (86.93),2320 (92.22),2373 (95.07),2342 (96.12),10878 (91.44)
