,Logistic,Truncated negbin,Gamma
Household income quintile: 1st (lowest),1,1,1
Household income quintile: 2nd ,"1.22 (0.82, 1.80)","1.19 (0.91, 1.56)","1.25 (0.83, 1.88)"
Household income quintile: 3rd ,"1.12 (0.75, 1.66)","1.10 (0.84, 1.44)","0.92 (0.61, 1.38)"
Household income quintile: 4th ,"1.35 (0.92, 1.99) ","1.14 (0.87, 1.50)","1.47 (0.98, 2.22) "
Household income quintile: 5th (highest),"1.62 (1.10, 2.38) *","1.11 (0.85, 1.45)","1.35 (0.90, 2.02)"
Educational qualifications: Yes,1,1,1
Educational qualifications: No,"0.72 (0.52, 1.01) ","1.16 (0.91, 1.49)","1.36 (0.93, 1.99)"
Economic status: Full Time,1,1,1
Economic status: Part Time,"1.43 (1.05, 1.96) *","0.95 (0.77, 1.17)","0.71 (0.51, 0.98) *"
Economic status: Unemployed,"0.63 (0.24, 1.63)","0.51 (0.24, 1.07)","0.33 (0.12, 0.91) *"
Economic status: Student,"1.06 (0.64, 1.75)","0.68 (0.48, 0.97) *","0.58 (0.34, 0.99) *"
Economic status: Economically inactive,"0.72 (0.48, 1.06) ","0.57 (0.43, 0.76) ***","0.39 (0.26, 0.58) ***"
Children in the household: Yes,1,1,1
Children in the household: No,"1.05 (0.83, 1.33)","0.92 (0.78, 1.08)","0.74 (0.59, 0.98) *"
Single parent family: Yes,1,1,1
Single parent family: No,"2.26 (0.64, 7.99)","2.08 (0.78, 5.56)","2.51 (0.66, 9.54)"
Driving licence: Yes,1,1,1
Driving licence: No,"1.06 (0.77, 1.45) ","0.87 (0.71, 1.07)","0.82 (0.60, 1.13)"
Car access: Yes,1,1,1
Car access: No,"1.98 (1.47, 2.68) ***","1.21 (1.01, 1.45) *","1.38 (1.04, 1.84) *"
Area type: Inner London,1,1,1
Area type: > 250k,"1.02 (0.67, 1.55)","0.95 (0.72, 1.25)","1.01 (0.66, 1.55)"
Area type: 25k to 250k,"0.85 (0.57, 1.26) ","1.17 (0.92, 1.50)","0.84 (0.57, 1.24)"
Area type: 10k to 25k,"0.58 (0.34, 0.97) *","0.92 (0.65, 1.31)","0.97 (0.57, 1.67)"
Area type: 3k to 10k,"0.57 (0.32, 1.02) ","0.81 (0.55, 1.20)","0.88 (0.48, 1.59)"
Area type: Built-up areas,"0.41 (0.27, 0.62) ***","0.99 (0.75, 1.29)","0.96 (0.63, 1.46)"
Area type: Rural,"0.44 (0.27, 0.71) ***","0.66 (0.48, 0.93) *","0.65 (0.40, 1.06) "
Age: 16-29,1,1,1
Age: 30-64,"1.17 (0.90, 1.54)","0.95 (0.79, 1.14)","1.01 (0.75, 1.34)"
Age: >64,"0.67 (0.41, 1.10) ","1.29 (0.90, 1.84)","0.86 (0.50, 1.48) "
Sex: Male,1,1,1
Sex: Female,"0.37 (0.29, 0.47) ***","1.04 (0.89, 1.22)","0.77 (0.60, 0.99) *"
Ethnicity: White,1,1,1
Ethnicity: Non-white,"0.34 (0.21, 0.53) ***","1.17 (0.86, 1.59)","0.82 (0.50, 1.35)"
Mobility difficulties: Yes,1,1,1
Mobility difficulties: No,"3.06 (1.47, 6.38) **","0.74 (0.46, 1.18)","0.72 (0.33, 1.56)"
n,11581,363,363
Pseudo R-squared (Nagelkerke),0.09,0.15,0.29
