,Logistic,Truncated negbin,Gamma
Area type: Inner London,1,1,1
Area type: > 250k,"1.49 (0.90, 2.47)","1.07 (0.72, 1.59)","1.08 (0.64, 1.83)"
Area type: 25k to 250k,"1.11 (0.69, 1.79)","1.09 (0.75, 1.59)","0.72 (0.44, 1.20)"
Area type: 10k to 25k,"0.73 (0.39, 1.36) ","1.16 (0.70, 1.93)","1.23 (0.63, 2.41)"
Area type: 3k to 10k,"1.51 (0.86, 2.69)","1.06 (0.67, 1.67)","1.24 (0.67, 2.29)"
Area type: Built-up areas,"0.76 (0.47, 1.24)","1.17 (0.80, 1.71)","1.23 (0.74, 2.05)"
Area type: Rural,"0.75 (0.44, 1.29) ","1.15 (0.75, 1.77)","1.14 (0.64, 2.04)"
Age: 16-29,1,1,1
Age: 30-64,"1.63 (1.15, 2.30) **","0.95 (0.71, 1.29)","1.28 (0.84, 1.96)"
Age: >64,"0.81 (0.49, 1.34) ","1.03 (0.69, 1.54)","0.99 (0.55, 1.75)"
Sex: Male,1,1,1
Sex: Female,"0.39 (0.30, 0.49) ***","0.84 (0.69, 1.02)","0.56 (0.43, 0.73) ***"
Mobility difficulties: Yes,1,1,1
Mobility difficulties: No,"1.76 (1.00, 3.08) ","0.77 (0.52, 1.16)","0.85 (0.46, 1.58)"
Household income quintile: 1st,1,1,1
Household income quintile: 2nd,"1.35 (0.93, 1.98)","0.94 (0.72, 1.23)","1.34 (0.90, 1.99)"
Household income quintile: 3rd,"0.93 (0.62, 1.40)","0.72 (0.53, 0.99) *","1.02 (0.67, 1.58)"
Household income quintile: 4th,"0.98 (0.65, 1.47)","0.66 (0.48, 0.91) *","1.03 (0.67, 1.61)"
Household income quintile: 5th,"1.59 (1.07, 2.34) *","0.83 (0.62, 1.11)","1.55 (1.02, 2.34) *"
Educational qualifications: Yes,1,1,1
Educational qualifications: No,"0.52 (0.36, 0.75) ***","0.84 (0.62, 1.13)","0.58 (0.38, 0.87) **"
Economic status: Full Time,1,1,1
Economic status: Part Time,"1.68 (1.20, 2.37) **","1.39 (1.08, 1.80) *","0.98 (0.68, 1.41)"
Economic status: Unemployed,"1.97 (0.92, 4.21) ","1.78 (1.08, 2.95) *","2.32 (1.02, 5.29) *"
Economic status: Student,"2.45 (1.43, 4.19) **","0.51 (0.31, 0.85) **","1.06 (0.58, 1.93)"
Economic status: Economically inactive,"1.31 (0.91, 1.90) ","1.21 (0.92, 1.58)","1.31 (0.90, 1.91)"
Children in the household: Yes,1,1,1
Children in the household: No,"1.24 (0.96, 1.60) ","0.87 (0.70, 1.07)","0.90 (0.67, 1.19)"
Single parent family: Yes,1,1,1
Single parent family: No,"1.90 (0.59, 6.14)","1.39 (0.53, 3.65)","0.63 (0.18, 2.24)"
Driving licence: Yes,1,1,1
Driving licence: No,"0.74 (0.51, 1.08)","1.02 (0.77, 1.36)","1.07 (0.72, 1.59)"
Car access: Yes,1,1,1
Car access: No,"1.63 (1.2, 2.29) **","1.36 (1.06, 1.74) *","1.00 (0.70, 1.41)"
