,Logistic,Truncated negbin,Gamma
Area type: Inner London,1,1,1
Area type: > 250k,"0.93 (0.60, 1.45)","0.98 (0.73, 1.30)","1.13 (0.72, 1.76)"
Area type: 25k to 250k,"0.79 (0.52, 1.19) ","1.26 (0.98, 1.62)","0.92 (0.62, 1.38)"
Area type: 10k to 25k,"0.56 (0.33, 0.96) *","0.99 (0.69, 1.40)","1.09 (0.64, 1.88)"
Area type: 3k to 10k,"0.54 (0.30, 0.98) *","0.89 (0.60, 1.32)","0.98 (0.54, 1.78)"
Area type: Built-up areas,"0.37 (0.24, 0.58) ***","1.02 (0.77, 1.35)","1.00 (0.65, 1.56)"
Area type: Rural,"0.40 (0.24, 0.66) ***","0.68 (0.49, 0.96) *","0.68 (0.42, 1.11) "
Age: 16-29,1,1,1
Age: 30-64,"1.27 (0.94, 1.72)","0.98 (0.80, 1.20)","1.02 (0.74, 1.42)"
Age: >64,"0.75 (0.46, 1.23) ","1.24 (0.87, 1.78)","0.81 (0.47, 1.39) "
Sex: Male,1,1,1
Sex: Female,"0.37 (0.29, 0.47) ***","1.03 (0.88, 1.22)","0.76 (0.59, 0.98) *"
Ethnicity: White,1,1,1
Ethnicity: Non-white,"0.30 (0.18, 0.49) ***","1.10 (0.79, 1.54)","0.72 (0.42, 1.23)"
Mobility difficulties: Yes,1,1,1
Mobility difficulties: No,"3.07 (1.49, 6.34) **","0.75 (0.47, 1.19)","0.75 (0.35, 1.60)"
Household income quintile: 1st,1,1,1
Household income quintile: 2nd,"1.32 (0.87, 1.98)","1.15 (0.87, 1.52)","1.17 (0.77, 1.79)"
Household income quintile: 3rd,"1.26 (0.84, 1.90)","1.04 (0.79, 1.37)","0.86 (0.57, 1.31)"
Household income quintile: 4th,"1.48 (0.99, 2.22) ","1.11 (0.84, 1.47)","1.45 (0.95, 2.20) "
Household income quintile: 5th,"1.68 (1.12, 2.52) *","1.08 (0.82, 1.43)","1.32 (0.87, 2.02)"
Educational qualifications: Yes,1,1,1
Educational qualifications: No,"0.68 (0.48, 0.96) *","1.17 (0.91, 1.51)","1.36 (0.92, 2.00)"
Economic status: Full Time,1,1,1
Economic status: Part Time,"1.30 (0.94, 1.81)","0.97 (0.78, 1.21)","0.72 (0.51, 1.02)"
Economic status: Unemployed,"0.66 (0.24, 1.85)","0.55 (0.25, 1.21)","0.31 (0.10, 0.91) *"
Economic status: Student,"1.12 (0.64, 1.95)","0.75 (0.50, 1.09)","0.61 (0.34, 1.09) "
Economic status: Economically inactive,"0.74 (0.50, 1.09) ","0.56 (0.42, 0.74) ***","0.36 (0.24, 0.54) ***"
Children in the household: Yes,1,1,1
Children in the household: No,"1.02 (0.80, 1.31)","0.88 (0.75, 1.04)","0.74 (0.57, 0.95) *"
Single parent family: Yes,1,1,1
Single parent family: No,"2.00 (0.62, 6.50)","2.07 (0.83, 5.15)","2.50 (0.72, 8.65)"
Driving licence: Yes,1,1,1
Driving licence: No,"1.10 (0.78, 1.53) ","0.84 (0.67, 1.04)","0.78 (0.56, 1.09)"
Car access: Yes,1,1,1
Car access: No,"1.96 (1.42, 2.70) ***","1.29 (1.06, 1.56) **","1.52 (1.12, 2.06) **"
n,13065,363,363
Pseudo R-squared (Nagelkerke),0.296,0.168,0.305
